Dimension: 100
1 1357 1905
85 1533 1780
27 1660 1556
15 1838 1732
13 2048 1628
79 2082 1753
64 2318 1925
20 2312 1949
42 2552 1909
55 2469 1838
67 2365 1649
47 2513 1572
31 2433 1538
65 2232 1374
80 2302 1127
77 2178 978
30 2361 640
68 2499 658
35 2636 727
2 2650 802
54 2773 1286
6 2687 1353
75 2933 1459
22 3078 1541
8 3092 1668
17 3314 1881
25 3409 1917
90 3499 1885
34 3586 1909
58 3853 1712
98 3736 1542
88 3808 1375
28 3729 1188
39 3635 1174
38 3704 1082
71 3646 1018
56 3835 963
43 3939 640
5 3806 746
86 3564 676
72 3394 1028
83 3213 1085
62 3174 1064
50 3278 799
95 3297 491
94 3249 378
91 3124 408
76 3099 173
70 2990 214
23 2781 478
21 2576 189
89 2221 291
41 2049 417
59 1868 197
73 1779 90
3 1774 107
69 1410 307
60 1544 863
4 1307 964
93 1027 1041
99 868 731
19 779 777
92 781 671
10 834 629
14 1097 643
36 1000 457
57 1031 428
74 1058 372
100 960 303
33 913 317
45 812 351
81 805 272
97 721 186
96 213 220
87 29 6
52 14 454
11 40 462
84 99 536
48 242 584
66 396 828
44 219 898
63 192 1004
51 86 1065
16 234 1118
37 482 1337
9 185 1542
78 138 1610
82 22 1617
7 43 1957
26 323 1714
61 457 1607
32 554 1825
24 705 1812
46 901 1552
29 693 1383
18 737 1285
49 826 1226
12 1183 1391
40 1362 1526
53 1327 1893
1 1357 1905
